000	この通話は品質向上のため録音させて戴きます
001	お電話ありがとうございます
002	リバティーコールです。
003	はい。
004	もしもし。
005	ありがとうございます。どのようなご用件でしょうか？
006	導入のご相談でよろしかったでしょうか？
007	システムの詳細についてでよろしかったでしょうか？
008	料金のご相談でよろしかったでしょうか？
009	その他のご相談でよろしかったでしょうか？
010	どのような点が気になっておりますでしょうか？
011	システムのどの部分についてお伺いでしょうか？
012	料金のどの項目についてお伺いしましょうか？
013	導入までの流れについてご案内いたしましょうか？
014	AIの応答精度についてでしょうか？
015	録音・個人情報の取り扱いについてでしょうか？
016	営業電話フィルタについてでしょうか？
017	カスタマイズの可否についてでしょうか？
018	導入スピードについてのご質問でしょうか？
019	その他のサービス内容でしょうか？
020	当社のAI電話は二十四時間三百六十五日対応で、一次受付から要件確認まで自動で行います。
021	誤案内防止のため、ルールベース方式を採用しています。
022	想定外の内容は、全て担当者へ即転送する安全設計です。
023	AIが電話応対し、必要に応じて担当者へ引き継ぎます。
024	個人情報は一切保持せず、その場で処理のみ行います。
025	営業電話のフィルタリングにも対応しております。
026	お客様ごとに応答ルールと音声を調整し、精度を継続的に改善いたします。
027	初期費用は不要で、月額二十万円と通話料のみで運用可能です。
028	解約はいつでも可能で、最低利用期間はございません。
029	導入後一週間以内で動作不良などあれば全額返金が可能です。
040	料金は月額二十万円となります。
041	通話料は一分あたり約三円から四円ほどです。
042	初期費用は一切かかりません。
043	導入時に当月の日割りと翌月分を合わせて請求いたします。
044	一週間以内は全額返金保証がございます。
045	最低契約期間はございません。
046	月途中でもすぐにご解約いただけます。
047	追加費用なしで24時間稼働いたします。
048	社員教育やトレーニングコストは不要です。
049	無人化によるコスト削減が可能です。
060	最短即日から導入が可能です。
061	必要なのは転送先番号のご指定のみです。
062	全てクラウドで動作し、機材の設置は不要です。
063	録音データは安全に管理されます。
064	AIは回答を外部へ送信せず、誤案内を防ぐ構造です。
065	リアルタイムで発話割り込みに対応いたします。
066	方言やイントネーションにも柔軟に対応いたします。
067	ルールベース方式のため誤案内リスクが極端に低い設計です。
068	毎日ログを分析し、翌日には応答精度を改善します。
069	複数拠点・複数番号の管理にも対応しております。
070	予約の取得や変更、キャンセルにも柔軟に対応可能です。
071	ダブルブッキングを避けるように自動で枠を管理します。
072	席数やスタッフごとの予約枠も設定いただけます。
080	必要に応じて担当者へおつなぎいたします。
081	それでは担当者におつなぎいたします。
082	しばらくお待ちください。
083	担当者が不在の場合は折り返しのご案内となります。
084	ご質問は以上でよろしいでしょうか？
085	ほかに気になる点はありますか？
086	お電話ありがとうございました。
087	また何かあればいつでもご相談くださいね。
088	失礼いたします。
089	ありがとうございます。ちなみに、どのあたりがご不安でしたか？
090	かしこまりました。どこか気になる点や迷っている部分はございますか？
091	折り返しご希望でしょうか？
092	ただいま確認いたします。少しお待ちください。
093	営業目的のお電話でしょうか？
094	恐れ入りますが、営業目的のご連絡はお受けしておりません。
095	担当部署に確認いたします。
096	特定サービスに関するお問い合わせでしょうか？
097	本日の対応可能な時間帯をご案内いたします。
098	順番にご案内しておりますのでお待ちください。
099	他にお手伝いできることはございますか？
100	初めてのご相談でよろしかったでしょうか？
101	料金についてのお問い合わせでよろしかったでしょうか？
102	キャンセルのご相談でよろしかったでしょうか？
103	お問い合わせでよろしかったでしょうか？
104	担当者におつなぎしてよろしかったでしょうか？
110	もしもし？お声が遠いようです。もう一度お願いします。
111	お電話聞こえていますか？
112	お声が確認できませんので、このまま切らせていただきます。
113	雑音が入ってしまったため、改めてお願いできますか？
114	ご要件をもう一度お伺いしてもよろしいでしょうか？
115	どの内容についてのお問い合わせでしょうか？
116	はい、どういった件かもう少し詳しくお聞かせいただけますか？
117	今のお言葉、確認のため繰り返していただけますか？
118	すみません、電話が遠いようです。もう一度お願いします。
119	恐れ入りますが、何についてのお電話か改めてお伺いしてもよろしいでしょうか？
120	導入について何が気になりますか？導入期間、設定の難易度、サポート体制のどれでしょうか？
121	24時間365日、休日・夜間も対応いたします。
122	初期費用は0円、月額は20万円、通話料は1分3円です。
0280	私たちのAI電話は、飲食、美容院、クリニックなど幅広く対応しています。
0281	個人店や小規模店舗でも導入されています。
0282	主要な予約アプリとは連動可能です。内容に応じて追加費用を頂いております。
0283	飲食、美容、医療など多くの店舗で導入実績がございます。
0284	導入後もチャット・電話でのサポートが可能です。
0285	不具合があれば即日対応し、自動復旧機能も備えています。
0600	AI電話の件ですね。どのあたりが気になっておりますでしょうか？
0601	承知いたしました。折り返し希望として承ります。お名前とご連絡先をお伺いしてもよろしいでしょうか？
0602	恐れ入ります、少し聞き取りづらかったようです。もう一度お願いできますでしょうか？
0603	初期設定はこちらで代行いたしますので、お店側の作業はほとんどございません。スマホだけでもご利用いただけますのでご安心ください。
0604	私では詳細のご案内が難しい内容のため、担当者におつなぎしてもよろしいでしょうか？
006_SYS	ありがとうございます。システムについてですね。どのような点が気になっていますか？
023_AI_IDENTITY	はい、私がAIで自動応答させていただいております。内容によっては担当者におつなぎする場合もございますが、わかる範囲でご案内いたします。
